Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3957836796425862
75% Corpus,2,0.01,0.31,0.4040899130336017
75% Corpus,2,0.01,0.61,0.40408991303360164
75% Corpus,2,0.01,0.9099999999999999,0.39714398952689844
75% Corpus,2,0.01,symmetric,0.40408991303360164
75% Corpus,2,0.31,0.01,0.36953507190830065
75% Corpus,2,0.31,0.31,0.359086651206033
75% Corpus,2,0.31,0.61,0.3588152431616963
75% Corpus,2,0.31,0.9099999999999999,0.3588152431616963
75% Corpus,2,0.31,symmetric,0.36054048817689766
75% Corpus,2,0.61,0.01,0.38885917020015226
75% Corpus,2,0.61,0.31,0.3491563580156104
75% Corpus,2,0.61,0.61,0.369066077429517
75% Corpus,2,0.61,0.9099999999999999,0.3607664485036736
75% Corpus,2,0.61,symmetric,0.3510748991568663
75% Corpus,2,0.9099999999999999,0.01,0.39714398952689844
75% Corpus,2,0.9099999999999999,0.31,0.37484943576818086
75% Corpus,2,0.9099999999999999,0.61,0.3508548046595714
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3607664485036736
75% Corpus,2,0.9099999999999999,symmetric,0.374629341270886
75% Corpus,2,symmetric,0.01,0.3800728460300459
75% Corpus,2,symmetric,0.31,0.3491563580156104
75% Corpus,2,symmetric,0.61,0.3671475362882611
75% Corpus,2,symmetric,0.9099999999999999,0.3607664485036737
75% Corpus,2,symmetric,symmetric,0.3671475362882611
75% Corpus,2,asymmetric,0.01,0.3993697422458559
75% Corpus,2,asymmetric,0.31,0.40625767751824104
75% Corpus,2,asymmetric,0.61,0.40625767751824104
75% Corpus,2,asymmetric,0.9099999999999999,0.40625767751824104
75% Corpus,2,asymmetric,symmetric,0.40625767751824104
75% Corpus,3,0.01,0.01,0.4465349699128003
75% Corpus,3,0.01,0.31,0.440733366722426
75% Corpus,3,0.01,0.61,0.44488441762325254
75% Corpus,3,0.01,0.9099999999999999,0.44488441762325254
75% Corpus,3,0.01,symmetric,0.440733366722426
75% Corpus,3,0.31,0.01,0.43852797499687135
75% Corpus,3,0.31,0.31,0.4120772372598183
75% Corpus,3,0.31,0.61,0.4120772372598183
75% Corpus,3,0.31,0.9099999999999999,0.4047093805108069
75% Corpus,3,0.31,symmetric,0.4120772372598183
75% Corpus,3,0.61,0.01,0.449317047637094
75% Corpus,3,0.61,0.31,0.4112598013566345
75% Corpus,3,0.61,0.61,0.41576144001191856
75% Corpus,3,0.61,0.9099999999999999,0.3913622401636309
75% Corpus,3,0.61,symmetric,0.4112598013566345
75% Corpus,3,0.9099999999999999,0.01,0.4529902730896924
75% Corpus,3,0.9099999999999999,0.31,0.4409723165332802
75% Corpus,3,0.9099999999999999,0.61,0.40863291929665646
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.38311200237637905
75% Corpus,3,0.9099999999999999,symmetric,0.42966392621274857
75% Corpus,3,symmetric,0.01,0.43852797499687135
75% Corpus,3,symmetric,0.31,0.4120772372598183
75% Corpus,3,symmetric,0.61,0.4120772372598183
75% Corpus,3,symmetric,0.9099999999999999,0.404709380510807
75% Corpus,3,symmetric,symmetric,0.4120772372598183
75% Corpus,3,asymmetric,0.01,0.4056572227905857
75% Corpus,3,asymmetric,0.31,0.4032586953690645
75% Corpus,3,asymmetric,0.61,0.4161352650137255
75% Corpus,3,asymmetric,0.9099999999999999,0.4183113307216216
75% Corpus,3,asymmetric,symmetric,0.4032586953690645
75% Corpus,4,0.01,0.01,0.43700692582173156
75% Corpus,4,0.01,0.31,0.43700692582173156
75% Corpus,4,0.01,0.61,0.4334690093016964
75% Corpus,4,0.01,0.9099999999999999,0.4334690093016964
75% Corpus,4,0.01,symmetric,0.4370069258217315
75% Corpus,4,0.31,0.01,0.4583632502831618
75% Corpus,4,0.31,0.31,0.4448988257623826
75% Corpus,4,0.31,0.61,0.44275401943828196
75% Corpus,4,0.31,0.9099999999999999,0.44698014032286215
75% Corpus,4,0.31,symmetric,0.4448988257623825
75% Corpus,4,0.61,0.01,0.41979162503589224
75% Corpus,4,0.61,0.31,0.44648099429513666
75% Corpus,4,0.61,0.61,0.43611055565671525
75% Corpus,4,0.61,0.9099999999999999,0.42913884137220015
75% Corpus,4,0.61,symmetric,0.4464809942951366
75% Corpus,4,0.9099999999999999,0.01,0.42732006941653167
75% Corpus,4,0.9099999999999999,0.31,0.4485071134435071
75% Corpus,4,0.9099999999999999,0.61,0.422027002668934
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4338529472687909
75% Corpus,4,0.9099999999999999,symmetric,0.44850711344350697
75% Corpus,4,symmetric,0.01,0.45413712939858153
75% Corpus,4,symmetric,0.31,0.4514089486119067
75% Corpus,4,symmetric,0.61,0.4492641422878061
75% Corpus,4,symmetric,0.9099999999999999,0.44275401943828185
75% Corpus,4,symmetric,symmetric,0.4514089486119067
75% Corpus,4,asymmetric,0.01,0.4121515567250924
